school_name,postal_code,mainlevel_code,lat,long
VICTORIA JUNIOR COLLEGE,449035,JUNIOR COLLEGE,1.30670174177479,103.919982704149
VICTORIA SCHOOL,448880,SECONDARY,1.3087130270751,103.927980966639
WATERWAY PRIMARY SCHOOL,828802,PRIMARY,1.39889261226315,103.918585924582
WELLINGTON PRIMARY SCHOOL,757702,PRIMARY,1.45189083282189,103.822341940714
WEST GROVE PRIMARY SCHOOL,649223,PRIMARY,1.34471211768915,103.698964212988
WEST SPRING PRIMARY SCHOOL,679946,PRIMARY,1.38940542798898,103.766143474517
WEST SPRING SECONDARY SCHOOL,677737,SECONDARY,1.38782283303782,103.760128840155
WEST VIEW PRIMARY SCHOOL,677742,PRIMARY,1.38378546546228,103.760273432258
WESTWOOD PRIMARY SCHOOL,649188,PRIMARY,1.34720542681453,103.700542324411
WESTWOOD SECONDARY SCHOOL,648350,SECONDARY,1.35373698510994,103.701772102139
WHITE SANDS PRIMARY SCHOOL,519075,PRIMARY,1.36563610941695,103.960861814678
WHITLEY SECONDARY SCHOOL,579747,SECONDARY,1.35505208480649,103.842552378136
WOODGROVE PRIMARY SCHOOL,738079,PRIMARY,1.43273620725049,103.79023031392
WOODGROVE SECONDARY SCHOOL,738990,SECONDARY,1.42831828137013,103.79604758539
WOODLANDS PRIMARY SCHOOL,738853,PRIMARY,1.43658270720199,103.791791282236
WOODLANDS RING PRIMARY SCHOOL,738240,PRIMARY,1.43485179380236,103.79741434351
WOODLANDS RING SECONDARY SCHOOL,738239,SECONDARY,1.43648894729939,103.800148469692
WOODLANDS SECONDARY SCHOOL,739111,SECONDARY,1.43912528141356,103.774586410437
XINGHUA PRIMARY SCHOOL,538882,PRIMARY,1.35799653782463,103.890216355459
XINGNAN PRIMARY SCHOOL,649036,PRIMARY,1.34270639669225,103.687588478681
XINMIN PRIMARY SCHOOL,538784,PRIMARY,1.37176798317468,103.88280991785
XINMIN SECONDARY SCHOOL,538789,SECONDARY,1.37255884700002,103.88305161385
XISHAN PRIMARY SCHOOL,768611,PRIMARY,1.43347186925064,103.837755319448
YANGZHENG PRIMARY SCHOOL,556108,PRIMARY,1.3489768083841,103.868467129954
YEW TEE PRIMARY SCHOOL,689100,PRIMARY,1.39672603497195,103.751817992962
YIO CHU KANG PRIMARY SCHOOL,538720,PRIMARY,1.37793264345276,103.885643682171
YIO CHU KANG SECONDARY SCHOOL,569868,SECONDARY,1.37797597740925,103.84213696352
YISHUN INNOVA JUNIOR COLLEGE,768675,JUNIOR COLLEGE,1.42426692572335,103.83003171149
YISHUN PRIMARY SCHOOL,768679,PRIMARY,1.43338602975674,103.834087115915
YISHUN SECONDARY SCHOOL,768516,SECONDARY,1.42813324276086,103.828764316679
YISHUN TOWN SECONDARY SCHOOL,768610,SECONDARY,1.43232156717386,103.838094226361
YU NENG PRIMARY SCHOOL,469623,PRIMARY,1.33398037894072,103.932015036296
YUAN CHING SECONDARY SCHOOL,618654,SECONDARY,1.34200635764467,103.72089870437
YUHUA PRIMARY SCHOOL,609558,PRIMARY,1.34291981622016,103.740861148879
YUHUA SECONDARY SCHOOL,649406,SECONDARY,1.34718626876968,103.722687235839
YUMIN PRIMARY SCHOOL,529393,PRIMARY,1.35129177520071,103.950461935791
YUSOF ISHAK SECONDARY SCHOOL,658712,SECONDARY,1.34233921440623,103.760032628302
YUYING SECONDARY SCHOOL,538884,SECONDARY,1.35713595302467,103.890194755287
ZHANGDE PRIMARY SCHOOL,169485,PRIMARY,1.28421153855474,103.825951884637
ZHENGHUA PRIMARY SCHOOL,679002,PRIMARY,1.37972100441473,103.769118494651
ZHENGHUA SECONDARY SCHOOL,677741,SECONDARY,1.38836583415352,103.765510638527
ZHONGHUA PRIMARY SCHOOL,556095,PRIMARY,1.36026072476019,103.869712517383
ZHONGHUA SECONDARY SCHOOL,556123,SECONDARY,1.34840720846208,103.869430481414
